vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers
041624_Cam4_TrNum10_Coop_KL001B-KL001Y,041624_KL001_TimeOut,multi,test,True,KL001B-KL001Y,0.0144580696202531,0.0151173523206751,True,0.0,True,True,coop,TP,False,transparent
041624_Cam3_TrNum7_Coop_KL002B-KL002Y,041624_KL002_TimeOut,multi,test,True,KL002B-KL002Y,0.0411641882257078,0.0420706864941943,True,0.0007129761662253,True,True,coop,TP,False,transparent
041624_Cam3_TrNum9_Coop_KL002B-KL002Y,041624_KL002_TimeOut,multi,test,True,KL002B-KL002Y,0.0708096209599484,0.0737571137120154,True,0.0004939332116396,True,True,coop,TP,False,transparent
041824_Cam4_TrNum5_Coop_KL005Y-KL005B,041824_KL005_TimeOut,multi,test,True,KL005Y-KL005B,0.0749164895232311,0.0793467624928299,True,0.0005297432263724,True,True,coop,TP,False,transparent
041824_Cam4_TrNum7_Coop_KL005Y-KL005B,041824_KL005_TimeOut,multi,test,True,KL005Y-KL005B,0.1216888394873041,0.1302285595192608,True,0.0016620931605821,True,True,coop,TP,False,transparent
041824_Cam3_TrNum11_Coop_KL007Y-KL007G,041824_KL007_TimeOut,multi,test,True,KL007Y-KL007G,0.2937262479871175,0.3441932367149758,True,0.0067504025764895,True,True,coop,TP,False,transparent
041824_Cam3_TrNum5_Coop_KL007Y-KL007G,041824_KL007_TimeOut,multi,test,True,KL007Y-KL007G,0.2927765864506393,0.3496187753157017,True,0.005204114049718,True,True,coop,TP,False,transparent
041924_Cam4_TrNum12_Coop_KL002B-KL002Y,041924_KL002_TimeOut,multi,test,True,KL002B-KL002Y,0.0687745311818578,0.0739254736638077,True,0.0006687018461985,True,True,coop,TP,False,transparent
041924_Cam4_TrNum5_Coop_KL002B-KL002Y,041924_KL002_TimeOut,multi,test,True,KL002B-KL002Y,0.0636709110650478,0.0674809989142236,True,0.0005527588589477,True,True,coop,TP,False,transparent
042224_Cam2_TrNum5_Coop_KL005Y-KL005B,042224_KL005_TimeOut,multi,test,True,KL005Y-KL005B,0.0827981437069797,0.087884261998941,True,0.0006431619273055,True,True,coop,TP,False,transparent
